artists,danceability,energy,valence,tempo,acousticness,speechiness,instrumentalness,liveness,is_explicit,mode,cluster,cluster_name,popularity
Chrisanti,0.907,0.528,0.845,94.988,0.006,0.123,0.0,0.115,0.0,0.0,2,Latin Groove,
Chriss Oz,0.749,0.676,0.681,126.984,0.306,0.06,0.0,0.111,0.0,1.0,1,Pop Mainstream,39.0
Christian Liguori,0.711,0.695,0.644,130.205,0.394,0.249,0.0,0.276,0.0,0.111,4,Brazilian Beat,
Christian Nodal,0.616,0.478,0.738,135.244,0.466,0.029,0.0,0.287,0.001,0.999,4,Brazilian Beat,79.0
Christina,0.674,0.567,0.302,89.465,0.158,0.023,0.0,0.108,0.0,1.0,3,Asian Acoustic,
Christina Aguilera,0.673,0.758,0.542,135.956,0.039,0.158,0.0,0.341,0.0,1.0,4,Brazilian Beat,
Christoph Andersson,0.67,0.564,0.495,135.777,0.035,0.036,0.005,0.151,1.0,0.016,2,Latin Groove,
Christopher,0.612,0.66,0.495,105.657,0.091,0.038,0.0,0.143,0.0,0.64,1,Pop Mainstream,36.8
Christos Mastoras,0.51,0.703,0.394,146.607,0.42,0.065,0.0,0.128,0.0,0.0,3,Asian Acoustic,
Chrystal,0.62,0.843,0.237,137.791,0.006,0.084,0.0,0.55,0.0,0.002,4,Brazilian Beat,
Chrystal Farrell,0.808,0.59,0.317,97.011,0.294,0.089,0.0,0.177,0.0,0.0,2,Latin Groove,
Chub1na.Ge,0.557,0.703,0.607,96.887,0.937,0.043,0.848,0.121,0.0,0.0,2,Latin Groove,69.6
Chuck Berry,0.681,0.715,0.957,152.133,0.812,0.091,0.0,0.078,0.0,0.0,0,High Energy Pop,86.5
Chucky73,0.876,0.669,0.646,124.07,0.229,0.052,0.003,0.192,1.0,1.0,0,High Energy Pop,
Chuki Beats,0.637,0.72,0.284,160.049,0.059,0.089,0.0,0.165,1.0,1.0,1,Pop Mainstream,
Churaq Clique,0.606,0.545,0.261,106.584,0.01,0.47,0.0,0.193,1.0,1.0,2,Latin Groove,49.4
Churaq Sputnik,0.672,0.65,0.378,105.555,0.065,0.326,0.01,0.135,1.0,1.0,2,Latin Groove,
Chuwi,0.458,0.297,0.357,96.14,0.866,0.6,0.329,0.346,0.0,0.0,4,Brazilian Beat,
Chuyin,0.718,0.809,0.788,126.93,0.206,0.033,0.0,0.145,1.0,0.954,0,High Energy Pop,
Châu Bùi,0.835,0.795,0.578,129.993,0.054,0.074,0.0,0.147,0.0,1.0,0,High Energy Pop,
Ché Salah,0.781,0.721,0.703,126.43,0.09,0.287,0.0,0.103,1.0,0.882,2,Latin Groove,
Chłopiec,0.76,0.623,0.684,135.975,0.139,0.097,0.0,0.209,1.0,1.0,0,High Energy Pop,
Chọn gì? Chọn đi!,0.679,0.747,0.505,100.073,0.286,0.058,0.0,0.401,0.0,1.0,4,Brazilian Beat,
Cici,0.783,0.665,0.478,110.489,0.138,0.054,0.001,0.133,0.0,0.038,2,Latin Groove,43.0
Cigarettes After Sex,0.391,0.439,0.183,110.692,0.292,0.027,0.623,0.112,0.001,0.99,3,Asian Acoustic,86.3
Cilia Katrali,0.62,0.758,0.75,93.97,0.26,0.063,0.0,0.103,0.0,1.0,1,Pop Mainstream,47.0
Ciniso,0.742,0.497,0.62,112.996,0.007,0.062,0.001,0.075,0.0,0.0,2,Latin Groove,
Cipri Popescu,0.724,0.571,0.972,92.4,0.35,0.06,0.0,0.057,0.0,1.0,1,Pop Mainstream,51.8
Ciro Paniagua,0.67,0.539,0.604,90.023,0.789,0.028,0.0,0.132,0.0,1.0,3,Asian Acoustic,45.0
Ciro y los Persas,0.711,0.838,0.585,115.572,0.056,0.068,0.0,0.102,0.0,0.143,0,High Energy Pop,69.0
Citi Zēni,0.775,0.554,0.584,140.006,0.359,0.127,0.0,0.117,0.0,0.0,0,High Energy Pop,39.0
Clams Casino,0.47,0.652,0.104,141.981,0.083,0.056,0.0,0.175,1.0,1.0,1,Pop Mainstream,
Claniel,0.666,0.617,0.19,131.86,0.088,0.158,0.504,0.18,0.0,0.0,2,Latin Groove,38.5
Clara Klingenström,0.45,0.684,0.417,139.853,0.008,0.062,0.0,0.109,0.0,1.0,1,Pop Mainstream,16.0
Clarent,0.701,0.654,0.398,119.62,0.485,0.043,0.0,0.213,0.599,0.022,2,Latin Groove,72.3
Claude,0.625,0.481,0.309,126.842,0.422,0.054,0.001,0.119,0.0,0.654,3,Asian Acoustic,64.9
Claudia Puican,0.676,0.82,0.816,170.016,0.31,0.05,0.0,0.225,0.0,0.0,0,High Energy Pop,
Clave Especial,0.775,0.803,0.832,138.009,0.202,0.055,0.0,0.211,0.988,0.0,0,High Energy Pop,81.0
Clayrocksu,0.5,0.83,0.328,106.311,0.02,0.051,0.0,0.195,0.786,1.0,1,Pop Mainstream,56.0
Clayton & Romário,0.589,0.812,0.641,136.966,0.525,0.074,0.0,0.678,0.0,0.488,4,Brazilian Beat,76.9
Clean Bandit,0.664,0.762,0.576,118.979,0.333,0.104,0.0,0.177,0.0,1.0,1,Pop Mainstream,
Cledos,0.755,0.698,0.657,101.99,0.165,0.057,0.004,0.122,0.51,0.591,2,Latin Groove,62.8
Cleffy,0.602,0.386,0.164,145.016,0.57,0.038,0.0,0.092,1.0,1.0,3,Asian Acoustic,74.8
Clement Chow,0.404,0.614,0.357,85.744,0.398,0.029,0.0,0.46,0.0,1.0,4,Brazilian Beat,40.0
Clementine Douglas,0.65,0.852,0.559,127.51,0.01,0.065,0.012,0.126,0.0,0.334,0,High Energy Pop,
Cleyh,0.655,0.612,0.339,103.009,0.155,0.128,0.0,0.155,0.0,1.0,1,Pop Mainstream,
Clicherik,0.71,0.58,0.279,163.973,0.034,0.153,0.0,0.138,1.0,1.0,1,Pop Mainstream,
Clicherik & Mäx,0.606,0.766,0.742,136.651,0.111,0.052,0.005,0.17,0.157,0.185,0,High Energy Pop,42.5
Cliff Richard,0.498,0.432,0.365,135.015,0.688,0.034,0.0,0.136,0.0,1.0,3,Asian Acoustic,76.5
Clonnex,0.623,0.869,0.466,144.851,0.013,0.072,0.0,0.411,0.985,0.955,4,Brazilian Beat,55.2
Close,0.896,0.403,0.661,100.02,0.176,0.111,0.071,0.085,1.0,0.0,2,Latin Groove,34.0
Cloud 雲浩影,0.619,0.417,0.156,123.959,0.748,0.046,0.0,0.141,0.0,1.0,3,Asian Acoustic,51.8
Clovis Reyes,0.512,0.468,0.188,75.304,0.03,0.064,0.012,0.26,0.0,0.0,3,Asian Acoustic,77.4
Club Dogo,0.703,0.823,0.626,130.948,0.326,0.21,0.0,0.299,1.0,0.604,4,Brazilian Beat,72.4
Club House,0.805,0.665,0.281,119.725,0.038,0.062,0.579,0.074,0.0,0.727,2,Latin Groove,
ClubDub,0.748,0.72,0.651,140.576,0.076,0.054,0.13,0.112,0.0,0.437,0,High Energy Pop,44.1
Clueso,0.75,0.64,0.552,139.922,0.121,0.313,0.0,0.137,1.0,0.739,2,Latin Groove,
Cnethemba Gonelo,0.819,0.559,0.498,112.492,0.024,0.057,0.026,0.034,0.0,0.86,1,Pop Mainstream,
Co Lee,0.847,0.71,0.417,117.514,0.171,0.21,0.069,0.108,0.0,0.5,2,Latin Groove,
CoCo,0.826,0.572,0.791,114.984,0.237,0.112,0.0,0.1,1.0,1.0,2,Latin Groove,
Cocktail,0.542,0.757,0.579,105.073,0.374,0.036,0.0,0.186,0.0,0.728,1,Pop Mainstream,64.1
Coco Jones,0.765,0.825,0.623,115.024,0.013,0.036,0.001,0.121,0.0,0.0,0,High Energy Pop,
Coco Palmer,0.862,0.687,0.578,97.92,0.187,0.18,0.0,0.178,1.0,0.0,2,Latin Groove,
Code G,0.715,0.75,0.431,143.915,0.046,0.148,0.0,0.365,1.0,0.0,4,Brazilian Beat,
Cody Carpenter,0.55,0.704,0.488,136.013,0.024,0.03,0.81,0.151,0.0,0.0,2,Latin Groove,
Coez,0.693,0.755,0.756,112.671,0.089,0.088,0.0,0.144,0.147,0.126,0,High Energy Pop,66.2
Coi Leray,0.602,0.91,0.228,127.944,0.001,0.031,0.0,0.12,0.0,1.0,1,Pop Mainstream,
Colby O'Donis,0.822,0.739,0.745,118.99,0.026,0.031,0.0,0.181,0.0,0.0,0,High Energy Pop,
Cold Chisel,0.474,0.918,0.655,164.049,0.129,0.177,0.0,0.238,0.0,1.0,0,High Energy Pop,62.5
Coldplay,0.49,0.608,0.349,139.745,0.103,0.03,0.003,0.156,0.002,0.483,1,Pop Mainstream,84.9
Coldzy,0.823,0.813,0.746,150.051,0.118,0.155,0.0,0.845,0.0,0.0,4,Brazilian Beat,
Coleto e Gabriel,0.689,0.796,0.934,130.983,0.105,0.032,0.0,0.099,0.0,1.0,0,High Energy Pop,49.7
Colindători Din Vestul Ţării,0.68,0.398,0.966,90.042,0.664,0.043,0.0,0.08,0.0,1.0,3,Asian Acoustic,49.0
Colindătorii Bihorului,0.616,0.464,0.824,154.331,0.684,0.168,0.0,0.204,0.0,1.0,4,Brazilian Beat,48.8
Colorado Records,0.386,0.04,0.126,129.99,0.977,0.043,0.905,0.106,0.0,1.0,3,Asian Acoustic,
Coma_Cose,0.618,0.849,0.556,121.962,0.082,0.113,0.0,0.383,0.0,1.0,4,Brazilian Beat,69.7
Comando Tiburon,0.721,0.687,0.634,117.323,0.192,0.182,0.0,0.116,0.0,0.333,2,Latin Groove,42.3
